id,latitude,longtitude,grid
765,12.75753334,37.61818445,Yes
766,12.75753334,37.61818445,Yes
767,12.75753334,37.61818445,Yes
768,12.75753334,37.61818445,Yes
769,12.75753334,37.61818445,Yes
770,12.75753334,37.61818445,Yes
771,12.75753334,37.61818445,Yes
772,12.75753334,37.61818445,Yes
773,12.75753334,37.61818445,Yes
774,12.33849626,37.67502096,No
775,12.33849626,37.67502096,No
776,12.33849626,37.67502096,No
777,12.33849626,37.67502096,No
778,12.33849626,37.67502096,No
779,12.33849626,37.67502096,No
780,12.33849626,37.67502096,No
781,12.33849626,37.67502096,No
782,12.33849626,37.67502096,No
783,12.33849626,37.67502096,No
784,12.33849626,37.67502096,No
785,12.33849626,37.67502096,No
786,12.55639224,37.31185851,Yes
787,12.55639224,37.31185851,Yes
788,12.55639224,37.31185851,Yes
789,12.55639224,37.31185851,Yes
790,12.55639224,37.31185851,Yes
791,12.55639224,37.31185851,Yes
792,12.55639224,37.31185851,Yes
793,12.55639224,37.31185851,Yes
