id,lat,long,Grid_Within_5km
30109020100112023,13,38,No
30109020100112033,13,38,No
30109020100112043,13,38,No
30109020100112053,13,38,No
30109020100112063,13,38,No
30109020100112073,13,38,No
30109020100112083,13,38,No
30109020100112093,13,38,No
30109020100112103,13,38,No
30109020100112113,13,38,No
30109020100112123,13,38,No
30109020100112133,13,38,No
30109020100112143,13,38,No
30110088801806002,12,38,Yes
30110088801806021,12,38,Yes
30110088801806040,12,38,Yes
30110088801806059,12,38,Yes
30110088801806069,12,38,Yes
30110088801806079,12,38,Yes
30110088801806098,12,38,Yes
30110088801806117,12,38,Yes
30110088801806136,12,38,Yes
30110088801806153,12,38,Yes
30110088801806157,12,38,Yes
30110088801806177,12,38,Yes
30111088800102043,13,37,No
30111088800102062,13,37,No
30111088800102081,13,37,No
30111088800102100,13,37,No
30111088800102119,13,37,No
30111088800102138,13,37,No
30111088800102157,13,37,No
30111088800102176,13,37,No
30111088800102195,13,37,No
30111088800102214,13,37,No
30112088800203003,13,37,No
30112088800203011,13,37,No
30112088800203015,13,37,No
30112088800203023,13,37,No
30112088800203027,13,37,No
30112088800203039,13,37,No
30112088800203051,13,37,No
30112088800203075,13,37,No
30112088800203087,13,37,No
30112088800203099,13,37,No
30112088800203111,13,37,No
30114088800816008,12,36,No
30114088800816023,12,36,No
30114088800816041,12,36,No
30114088800816077,12,36,No
30114088800816091,12,36,No
30114088800816096,11,38,Yes
30114088800816114,12,36,No
30114088800816132,12,36,No
30114088800816138,12,36,No
30114088800816152,12,36,No
30114088800816170,12,36,No
30116088802804005,12,38,Yes
30116088802804013,12,38,Yes
30116088802804055,12,38,Yes
30116088802804074,12,38,Yes
30116088802804080,12,38,Yes
30116088802804105,12,38,Yes
30116088802804129,12,38,Yes
30116088802804153,12,38,Yes
30116088802804178,12,38,Yes
30116088802804202,12,38,Yes
30116088802804226,12,38,Yes
30118010100610042,13,37,No
30118010100610053,13,37,No
30118010100610064,13,37,No
30118010100610086,13,37,No
30118010100610097,13,37,No
30118010100610108,13,37,No
30118010100610119,13,37,No
30118010100610130,13,37,No
30118010100610141,13,37,No
30118010100610152,13,37,No
30118010100610163,13,37,No
30118010101204018,13,37,No
30118010101204025,13,37,No
30118010101204032,13,37,No
30118010101204039,13,37,No
30118010101204046,13,37,No
30118010101204053,13,37,No
30118010101204060,13,37,No
30118010101204067,13,37,No
30118010101204074,13,37,No
30118010101204081,13,37,No
30118010101204088,13,37,No
30118010101204095,13,37,No
30118010101204102,13,37,No
30118010102006001,13,37,No
30118010102006019,13,37,No
30118010102006037,13,37,No
30118010102006055,13,37,No
30118010102006073,13,37,No
30118010102006091,13,37,No
30118010102006109,13,37,No
30118010102006127,13,37,No
30118010102006145,13,37,No
30118010102006181,13,37,No
30118010102006199,13,37,No
30118010102006217,13,37,No
30118010102006235,13,37,No
30118010102006253,13,37,No
30120020100105017,13,37,No
30120020100105036,13,37,No
30120020100105055,13,37,No
30120020100105074,13,37,No
30120020100105093,13,37,No
30120020100105112,13,37,No
30120020100105131,13,37,No
30120020100105150,13,37,No
30120020100105169,13,37,No
30120020100105188,13,37,No
30120020100105207,13,37,No
30120020100105226,13,37,No
30201088800703001,12,38,Yes
30201088800703019,12,38,Yes
30201088800703037,12,38,Yes
30201088800703055,12,38,Yes
30201088800703073,12,38,Yes
30201088800703091,12,38,Yes
30201088800703110,12,38,Yes
30201088800703111,12,38,Yes
30201088800703129,12,38,Yes
